# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.500e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   2.000e-010 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -6.431e+000, 2.781e+000 [nm]
#                      end        -5.475e+000, 2.781e+000 [nm]
# 
# 
#              Position                                I(r)
# ---------------------             -----------------------
   9.9412801144651e-011             -3.088863723631431e-011
   1.0036869346335e-010             -2.976549688649027e-011
   1.0132458578205e-010             -3.011231173203382e-011
   1.0228047810075e-010             -3.095823080734162e-011
   1.0323637041944e-010             -3.222234231672636e-011
   1.0419226273814e-010             -3.169514825538595e-011
   1.0514815505684e-010             -3.121648192668978e-011
   1.0610404737554e-010             -3.024819798111244e-011
   1.0705993969424e-010             -3.009606673269477e-011
   1.0801583201294e-010             -2.944860348429980e-011
   1.0897172433164e-010             -3.030626299150872e-011
   1.0992761665033e-010             -3.081406622573901e-011
   1.1088350896903e-010             -3.226463212929552e-011
   1.1183940128773e-010             -3.117471565109961e-011
   1.1279529360643e-010             -3.048580086342148e-011
   1.1375118592513e-010             -2.975899796557522e-011
   1.1470707824383e-010             -3.022702620709435e-011
   1.1566297056253e-010             -3.020873618940923e-011
   1.1661886288122e-010             -3.070422478989049e-011
   1.1757475519992e-010             -3.111597050322037e-011
   1.1853064751862e-010             -3.239071856448310e-011
   1.1948653983732e-010             -3.096509666473168e-011
   1.2044243215602e-010             -2.965502751332678e-011
   1.2139832447472e-010             -2.923154290339484e-011
   1.2235421679342e-010             -3.024814578094446e-011
   1.2331010911211e-010             -3.061393078165606e-011
   1.2426600143081e-010             -3.085819072068320e-011
   1.2522189374951e-010             -3.132973019114934e-011
   1.2617778606821e-010             -3.147609639160198e-011
   1.2713367838691e-010             -2.987470884972477e-011
   1.2808957070561e-010             -2.965570765080974e-011
   1.2904546302431e-010             -2.957893502138442e-011
   1.3000135534300e-010             -3.109076396327626e-011
   1.3095724766170e-010             -3.089838485003737e-011
   1.3191313998040e-010             -3.115820811562153e-011
   1.3286903229910e-010             -3.057803395436692e-011
   1.3382492461780e-010             -3.058269819290695e-011
   1.3478081693650e-010             -2.955231293570827e-011
   1.3573670925520e-010             -2.918406378000761e-011
   1.3669260157389e-010             -2.965575985097773e-011
   1.3764849389259e-010             -3.094308661742758e-011
   1.3860438621129e-010             -3.144779775935384e-011
   1.3956027852999e-010             -3.115202393101349e-011
   1.4051617084869e-010             -3.015245366121999e-011
   1.4147206316739e-010             -3.001693434861637e-011
   1.4242795548609e-010             -2.936795268945245e-011
   1.4338384780478e-010             -2.932461426762627e-011
   1.4433974012348e-010             -2.997590194597620e-011
   1.4529563244218e-010             -3.179555681381843e-011
   1.4625152476088e-010             -3.138889447567158e-011
   1.4720741707958e-010             -3.050451001774959e-011
   1.4816330939828e-010             -2.931544392634925e-011
   1.4911920171698e-010             -2.974647299585515e-011
   1.5007509403567e-010             -2.938278367835853e-011
   1.5103098635437e-010             -2.990049112681586e-011
   1.5198687867307e-010             -3.038183041117305e-011
   1.5294277099177e-010             -3.152320857851420e-011
   1.5389866331047e-010             -3.077109320508878e-011
   1.5485455562917e-010             -2.981135012817444e-011
   1.5581044794787e-010             -2.903654456996197e-011
   1.5676634026656e-010             -2.940275024261564e-011
   1.5772223258526e-010             -2.958857823477149e-011
   1.5867812490396e-010             -3.053018789450469e-011
   1.5963401722266e-010             -3.123681542742188e-011
   1.6058990954136e-010             -3.106272633186810e-011
   1.6154580186006e-010             -3.024625889840143e-011
   1.6250169417876e-010             -2.910357112096330e-011
   1.6345758649745e-010             -2.849079949009648e-011
   1.6441347881615e-010             -2.926026067228596e-011
   1.6536937113485e-010             -3.010502827329981e-011
   1.6632526345355e-010             -3.093265733092250e-011
   1.6728115577225e-010             -3.033723304411882e-011
   1.6823704809095e-010             -3.085462729156819e-011
   1.6919294040965e-010             -2.978692966134834e-011
   1.7014883272834e-010             -2.893608381136149e-011
   1.7110472504704e-010             -2.867154410706930e-011
   1.7206061736574e-010             -3.000189455903832e-011
   1.7301650968444e-010             -3.066492113399031e-011
   1.7397240200314e-010             -3.058605128605094e-011
   1.7492829432184e-010             -3.023698262148937e-011
   1.7588418664054e-010             -2.988078709869778e-011
   1.7684007895923e-010             -2.916839451781553e-011
   1.7779597127793e-010             -2.860205647167703e-011
   1.7875186359663e-010             -2.933782091012835e-011
   1.7970775591533e-010             -3.068169120560740e-011
   1.8066364823403e-010             -3.086599925169524e-011
   1.8161954055273e-010             -3.054135105395977e-011
   1.8257543287143e-010             -2.975967963835724e-011
   1.8353132519012e-010             -2.943565937793674e-011
   1.8448721750882e-010             -2.864770091268923e-011
   1.8544310982752e-010             -2.902187171685892e-011
   1.8639900214622e-010             -2.966990916710180e-011
   1.8735489446492e-010             -3.066670361619735e-011
   1.8831078678362e-010             -3.079058843253490e-011
