# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.600e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   5.000e-011 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -6.431e+000, 2.781e+000 [nm]
#                      end        -5.475e+000, 2.781e+000 [nm]
# 
# 
#              Position                               I(r)
# ---------------------             ----------------------
   2.0073738692670e-010             -2.44015175510015e-010
   2.0169327924540e-010             -2.34447879590794e-010
   2.0264917156410e-010             -2.40618395431318e-010
   2.0360506388279e-010             -2.46531708761752e-010
   2.0456095620149e-010             -2.48172820631472e-010
   2.0551684852019e-010             -2.48299745339945e-010
   2.0647274083889e-010             -2.49963599594620e-010
   2.0742863315759e-010             -2.45011130150525e-010
   2.0838452547629e-010             -2.33425563865447e-010
   2.0934041779499e-010             -2.28643461951988e-010
   2.1029631011368e-010             -2.37668525555590e-010
   2.1125220243238e-010             -2.47264067906891e-010
   2.1220809475108e-010             -2.48387260456883e-010
   2.1316398706978e-010             -2.44161279174328e-010
   2.1411987938848e-010             -2.43058051653295e-010
   2.1507577170718e-010             -2.36033493470143e-010
   2.1603166402588e-010             -2.29060080704530e-010
   2.1698755634457e-010             -2.27564289496605e-010
   2.1794344866327e-010             -2.41062684878793e-010
   2.1889934098197e-010             -2.52526721496290e-010
   2.1985523330067e-010             -2.50306223073733e-010
   2.2081112561937e-010             -2.39582561397761e-010
   2.2176701793807e-010             -2.36189240347844e-010
   2.2272291025677e-010             -2.35752550630709e-010
   2.2367880257546e-010             -2.30646271856325e-010
   2.2463469489416e-010             -2.35771992122688e-010
   2.2559058721286e-010             -2.48479650148333e-010
   2.2654647953156e-010             -2.55288354495640e-010
   2.2750237185026e-010             -2.46526783522372e-010
   2.2845826416896e-010             -2.32277477976519e-010
   2.2941415648766e-010             -2.28827089860593e-010
   2.3037004880635e-010             -2.27796548002891e-010
   2.3132594112505e-010             -2.32635666317488e-010
   2.3228183344375e-010             -2.42080649566608e-010
   2.3323772576245e-010             -2.54390448658909e-010
   2.3419361808115e-010             -2.56462956534609e-010
   2.3514951039985e-010             -2.44899193031462e-010
   2.3610540271855e-010             -2.30680859073518e-010
   2.3706129503724e-010             -2.28051654829767e-010
   2.3801718735594e-010             -2.31689076147609e-010
   2.3897307967464e-010             -2.39178886751582e-010
   2.3992897199334e-010             -2.44696175831046e-010
   2.4088486431204e-010             -2.51846507248377e-010
   2.4184075663074e-010             -2.50701722252425e-010
   2.4279664894944e-010             -2.38052024836840e-010
   2.4375254126813e-010             -2.25879943605395e-010
   2.4470843358683e-010             -2.27817090304295e-010
   2.4566432590553e-010             -2.38680253858629e-010
   2.4662021822423e-010             -2.44994568879580e-010
